terms_conditions,type_independent_activity_id,incomes,extra_incomes,familiar_debts,is_tax_return,region_id,name,name.1,viability,is_selected,has_region_id,has_date_exp_token,year_exp_token,month_exp_token,day_exp_token,year_birth,month_birth,day_birth,has_extra_incomes,has_familiar_debts,age,age_section
1,1,16.811242881518265,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1980,5,20,1,1,42,more 40
1,1,14.648420115681892,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1967,10,3,1,1,55,more 40
1,1,15.150511887854474,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1962,9,20,1,1,60,more 40
1,1,14.914123179965662,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1973,8,5,1,1,49,more 40
1,1,15.607270193858982,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1978,1,31,1,1,44,more 40
1,1,14.508658238524095,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1971,1,21,1,1,51,more 40
1,1,16.118095750958314,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1977,3,30,1,1,45,more 40
1,1,17.216707972959764,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1996,10,25,1,1,26,less 40
1,1,15.424948670398354,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1989,3,11,1,1,33,less 40
1,1,15.201805169084134,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1995,7,29,1,1,27,less 40
1,1,16.118095750958314,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1975,11,22,1,1,47,more 40
1,1,16.300417291085605,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,5,1983,2,3,1,1,39,less 40
1,1,15.424948670398354,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1973,1,2,1,1,49,more 40
1,1,14.508658238524095,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1990,4,30,1,1,32,less 40
1,1,15.59046307836746,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1981,3,3,1,1,41,more 40
1,1,15.520258832020865,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1998,8,27,1,1,24,less 40
1,1,15.201805169084134,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1986,11,4,1,1,36,less 40
1,1,16.012735246411598,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1977,5,18,1,1,45,more 40
1,1,16.118095750958314,0.0,13.122365377402328,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1995,4,23,1,0,27,less 40
1,1,16.066802461833923,13.122365377402328,0.0,1,13.0,"wholesale and retail, auto repair",independent,0,1,True,False,2023,4,5,1980,1,22,0,1,42,more 40
1,1,15.009433329466965,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1996,4,7,1,1,26,less 40
1,1,16.341239282272525,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1991,12,15,1,1,31,less 40
1,1,15.201805169084134,0.0,11.51293546492023,0,1.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,5,1982,11,5,1,0,40,more 40
1,1,18.132998684833918,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1963,3,17,1,1,59,more 40
1,1,15.76142084987672,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,5,1965,7,24,1,1,57,more 40
1,1,16.035328744355418,0.0,12.611541086966115,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1980,5,15,1,0,42,more 40
1,1,15.201805169084134,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,5,1993,10,19,1,1,29,less 40
1,1,16.118095750958314,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,0,0,False,False,2023,4,5,1968,4,29,1,1,54,more 40
1,1,17.216707972959764,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,0,0,False,False,2023,4,5,1988,11,15,1,1,34,less 40
1,1,15.201805169084134,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,0,0,False,False,2023,4,5,1982,12,14,1,1,40,more 40
1,1,16.811242881518265,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1989,11,29,1,1,33,less 40
1,1,16.185754392890075,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1981,6,18,1,1,41,more 40
1,1,15.38412668421143,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,5,1982,12,14,1,1,40,more 40
1,1,16.52356082573315,0.0,14.220976332738882,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1979,5,13,1,0,43,more 40
1,1,15.424948670398354,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,5,1981,6,12,1,1,41,more 40
1,1,15.424948670398354,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1985,11,18,1,1,37,less 40
1,1,16.906553056777135,0.0,14.508658238524095,1,0.0,"wholesale and retail, auto repair",independent,0,0,False,False,2023,4,5,1993,8,1,1,0,29,less 40
1,1,17.216707972959764,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,0,0,False,False,2023,4,5,1986,7,22,1,1,36,less 40
1,1,16.38169469123783,0.0,13.304686600863562,0,1.0,"wholesale and retail, auto repair",independent,1,1,True,False,2023,4,5,1985,11,29,1,0,37,less 40
1,1,16.811242881518265,0.0,0.0,0,2.0,"wholesale and retail, auto repair",independent,0,0,True,False,2023,4,5,1970,6,14,1,1,52,more 40
1,1,16.666217117271472,0.0,14.077875591662238,1,1.0,"wholesale and retail, auto repair",independent,1,1,True,False,2023,4,5,1986,3,5,1,0,36,less 40
1,1,15.150511887854474,0.0,0.0,0,12.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,5,2001,12,20,1,1,21,less 40
1,1,18.420680753952364,0.0,19.06253463538792,1,1.0,"wholesale and retail, auto repair",independent,1,1,True,True,2023,4,28,1977,10,15,1,0,45,more 40
0,1,16.300417291085605,0.0,12.206077645517674,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,28,1989,1,22,1,0,33,less 40
1,1,15.76142084987672,0.0,13.815511557963774,1,13.0,"wholesale and retail, auto repair",independent,1,1,True,False,2023,4,28,1992,7,16,1,0,30,less 40
1,1,16.52356082573315,0.0,0.0,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,28,1992,12,8,1,1,30,less 40
0,1,16.300417291085605,0.0,12.611541086966115,0,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,28,1986,7,6,1,0,36,less 40
1,1,17.034386422832473,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,28,1996,3,13,1,1,26,less 40
1,1,17.216707972959764,0.0,0.0,0,1.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,28,1969,4,12,1,1,53,more 40
1,1,17.312018149733785,0.0,11.51293546492023,1,2.0,"wholesale and retail, auto repair",independent,0,0,True,False,2023,4,28,1994,10,21,1,0,28,less 40
1,1,18.31532023940565,0.0,13.122365377402328,1,1.0,"wholesale and retail, auto repair",independent,0,0,True,False,2023,4,28,1983,2,23,1,0,39,less 40
1,1,15.76142084987672,0.0,0.0,1,13.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,28,1975,6,24,1,1,47,more 40
1,1,16.118095750958314,0.0,0.0,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,28,1981,8,31,1,1,41,more 40
1,1,15.424948670398354,0.0,0.0,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,28,1981,8,6,1,1,41,more 40
1,1,15.201805169084134,0.0,0.0,0,13.0,"wholesale and retail, auto repair",independent,0,0,True,False,2023,4,28,1993,5,22,1,1,29,less 40
0,1,16.300417291085605,0.0,16.300417291085605,0,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,28,1982,6,18,1,0,40,more 40
1,1,18.420680753952364,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,1,0,True,False,2023,4,28,1980,3,17,1,1,42,more 40
1,1,15.016980532823926,0.0,0.0,1,13.0,"wholesale and retail, auto repair",independent,0,0,True,False,2023,4,28,1985,7,3,1,1,37,less 40
1,1,17.553180200057167,0.0,14.508658238524095,1,13.0,"wholesale and retail, auto repair",independent,1,1,True,False,2023,4,28,1988,8,24,1,0,34,less 40
0,1,18.31532023940565,0.0,13.122365377402328,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,28,1983,4,15,1,0,39,less 40
